ID,Categoría,Nombre,Costo,Proveedor,Unidad,Control de Stock,Stock,Merma
51,Harinas,Mezcla Masa Mini Donas Bote,27.7176,,unid.,Si,,
366,Harinas,miel maple,0.0,,fl oz,Si,,
200,Harinas,Pan blanco Wonder con ajonjolí 567 g,57.5,Aurrera,unid.,Si,-0.2,5.0
201,Harinas,Rebanada Pan blanco Wonder con ajonjolí 567 g,2.875,Aurrera,unid.,Si,,
45,Helados y Paletas,Bolsa de Hielo Fiesta 15 Kg,7.5,Sam's Club,kg,Si,-708.457,7.0
32,Helados y Paletas,Helado de Crema Member Mark Sabor Fresa 4.7 L,40.27,Sam's Club,L,Si,4.7,
296,Helados y Paletas,Mini Gansito - Marinela 24 gr,6.15,Sam's Club,unid.,Si,18.0,
295,Helados y Paletas,Mini Paletas Frutales - Ola Malú 28g,0.0,Sam's Club,unid.,Si,39.0,
305,Helados y Paletas,Nieve de Limón Member's Mark 4.7 L,43.31,Sam's Club,L,Si,2.882,7.0
29,Lácteos,Aderezo de Queso,84.41,Sam's Club,kg,Si,-90.534,7.0
46,Lácteos,Clavel Polvo Caja 24 piezas 460gr,174.82,Delta Foods,kg,Si,-187.781,
138,Lácteos,Crema,69.0,Aurrera,L,No,,7.0
30,Lácteos,Crema de Avellana Member's Mark 1 kg,121.74,Sam's Club,kg,Si,4.37,
49,Lácteos,Huevo,3.03,Aurrera,unid.,Si,-442.806,
207,Lácteos,Leche Condensada La Lechera Bolsa 670g,49.5,Aurrera,unid.,Si,1.0,3.0
44,Lácteos,Leche Deslactosada - Santa Clara 1L,26.47,Sam's Club,L,Si,-135.56,3.0
218,Lácteos,Leche en polvo Carnation clavel Kg,134.78,basura,kg,Si,-13.017,5.0
314,Lácteos,Leche Entera - Mermbers 1L,23.22,Sam's Club,L,Si,-83.994,
43,Lácteos,Leche Entera - Santa Clara 1L,26.3,Sam's Club,L,Si,-259.423,
87,Lácteos,Manga crema batida - On Top 453gr,138.0,Sigma Foodservice,kg,Si,-100.253,7.0
208,Lácteos,Margarina Iberia 4 en 1 kg,136.0,Aurrera,kg,Si,1.5,3.0
31,Lácteos,Queso Crema Philadelphia,140.0,Sigma Foodservice,kg,Si,-12.665,7.0
