Id.,Categoría,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
301,Refrescos,ARIZONA Mango (591ml),0.0,unid.,-4.0,unid.,2.0,unid.,Sam's Club,15.25,
303,Refrescos,Arizona Sandía 591ml,0.0,unid.,-4.0,unid.,2.0,unid.,Sam's Club,16.0,
306,Refrescos,Refresco Coca-Cola 32 pzas de 355 ml,18.0,unid.,18.0,unid.,,,Sam's Club,17.91,322.38
105,Refrescos,Sangria 400ml,,,,,,,Central Tultitlán,7.0,
348,Salsas alitas,Aderezo Mostaza Miel - Custom Culinary,,,,,,,Custom Culinary,92.5,
95,Salsas alitas,BBQ a la Diabla Salsa - L Sirope,0.0,L,-2.906,L,,,TD Empaques,58.0,
35,Salsas alitas,BBQ Habanero Salsa - L Mr Wings,0.0,L,-1.59,L,,,Mr Wings,71.05,
338,Salsas alitas,BBQ L - Custom Culinary,3.785,L,3.785,L,,,Custom Culinary,55.06,208.4021
324,Salsas alitas,BBQ Salsa L - Hunts,0.0,L,-37.25,L,,,Sam's Club,67.8,
6,Salsas alitas,BBQ Salsa - L Mr Wings,0.0,L,0.0,L,,,Mr Wings,48.79,
340,Salsas alitas,BBQ Smoky - L Custom Culinary,,,,,,,MERCADO LIBRE,,
244,Salsas alitas,Bufalo para alitas Salsa (mr wings champ) - L Mr Wings,0.684,L,0.684,L,,,Mr Wings,56.84,38.87856
59,Salsas alitas,Bufalo Salsa - L Sirope,0.0,L,-3.06,L,,,TD Empaques,58.0,
326,Salsas alitas,Buffalo - L Custom Culinary,1.5,L,1.5,L,,,,,
23,Salsas alitas,Cajún estilo Louisiana Salsa - L Mr Wings,0.23,L,0.23,L,,,Mr Wings,70.79,16.2817
96,Salsas alitas,Extra hot salsa - L Mr Wings,2.83,L,2.83,L,,,Mr Wings,73.42,207.7786
57,Salsas alitas,Flamin Hot Salsa - L Sirope,0.0,L,-1.3,L,1.0,L,TD Empaques,58.0,
56,Salsas alitas,Fresa Hot Salsa - L Sirope,0.0,L,-4.3,L,1.0,L,TD Empaques,58.0,
58,Salsas alitas,Jalapeño Hot (Hot Jalapeño) - L Sirope,0.0,L,-0.72,L,1.0,L,TD Empaques,58.0,
55,Salsas alitas,Lemon Pepper Salsa - L Custom Culinary,0.0,L,-10.693,L,1.0,L,Custom Culinary,107.87,
