Id.,Categoría,Código,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
30,Frappé's Gatunos,,VAINILLA FRAPPÉ,,,,,,,,,
31,Frappé's Gatunos,,ZARZA CREMOSA FRAPPÉ,,,,,,,,,
839,Granizados,,DRAGON FRUIT - GRANIZADOS,,,,,,,,,
771,Granizados,,Magnum,,,,,,,,,
713,Granizados & Chamoyadas,CHAM_14,CHAMOYADA 14 OZ,0.0,unid.,,,,,,17.0,
679,Granizados & Chamoyadas,,CHAMOYADA 16 OZ,0.0,unid.,,,,,,,
125,Granizados & Chamoyadas,GRAN,FRAPPÉ DE AGUA GRANIZADO,0.0,unid.,,,,,,,
278,Granizados & Chamoyadas,,FRESA SANDÍA - CHAMOYADA,0.0,unid.,,,,,,,
122,Granizados & Chamoyadas,,FRUTOS ROJOS - FRAPPÉ DE AGUA,,,,,,,,,
121,Granizados & Chamoyadas,,ICE CEREZA - FRAPPÉ DE AGUA,,,,,,,,,
130,Granizados & Chamoyadas,,ICE MORA AZUL - FAPPÉ  DE AGUA,,,,,,,,,
124,Granizados & Chamoyadas,,KIWI - FRAPPÉ DE AGUA,,,,,,,,,
282,Granizados & Chamoyadas,,LIMÓN - CHAMOYADA,0.0,unid.,,,,,,,
277,Granizados & Chamoyadas,,MANGO - CHAMOYADA,0.0,unid.,,,,,,,
127,Granizados & Chamoyadas,,MANGO - FRAPPÉ DE AGUA,,,,,,,,,
128,Granizados & Chamoyadas,,MARACUYÁ - FRAPPÉ DE AGUA,,,,,,,,,
129,Granizados & Chamoyadas,,MOJITO - FRAPPÉ DE AGUA,,,,,,,,,
724,Granizados & Chamoyadas,,SANDÍA - CHAMOYADA,0.0,unid.,,,,,,,
463,Granizados & Chamoyadas,,SMOOTHIE FRUTOS ROJOS,,,,,,,,,
768,Juegos,,Juego Gonggi,17.0,unid.,17.0,unid.,,,MEGAZONE,30.0,510.0
644,Licuados & Malteadas,,CHILATE,,,,,,,,,
115,Licuados & Malteadas,,CHOCOLATE LICUADOS,,,,,,,,,
112,Licuados & Malteadas,,CHOCOLATE MALTEADAS,,,,,,,,,
113,Licuados & Malteadas,,COOKIES & CREAM MALTEADAS,,,,,,,,,
120,Licuados & Malteadas,,FRESA CREMOSA LICUADOS,,,,,,,,,
111,Licuados & Malteadas,,FRESA MALTEADAS,,,,,,,,,
117,Licuados & Malteadas,,FRUTOS ROJOS LICUADOS,,,,,,,,,
409,Licuados & Malteadas,SMO_FR,SMOOTHIE FRESA,,,,,,,,,
