ID,Categoría,Subcategoría,Código,Nombre del articulo,Descripción,Tipo de articulo,Precio,Costo,Proveedor,Activo,Favorito,Control de Stock,Stock,Margen,Contiene modificadores,Permitir vender solo,Posición,SKU,Nombre de variante,GTIN
477,Bebidas Gatunas,Bebidas Coreanas,,RAMUNE MELON,"Refresco tradicional japonés, La forma única de la botella y cómo está sellada con una canica hace que sea divertido y gratificante de abrir.",Alimentos y bebidas preparados,65,53.36,Asiaon Mart,Si,No,Si,1,11.64,No,Si,34400000,,,
478,Bebidas Gatunas,Bebidas Coreanas,,RAMUNE NARANJA,"Refresco tradicional japonés, La forma única de la botella y cómo está sellada con una canica hace que sea divertido y gratificante de abrir.",Alimentos y bebidas preparados,65,53.36,Asiaon Mart,Si,No,Si,5,11.64,No,Si,34500000,,,
473,Bebidas Gatunas,Bebidas Coreanas,,RAMUNE ORIGINAL,,Alimentos y bebidas preparados,65,53.36,Asiaon Mart,Si,No,Si,3,11.64,No,Si,34000000,,,
436,Bebidas Gatunas,Bebidas Coreanas,,RAMUNE UVA,"Refresco tradicional japonés, La forma única de la botella y cómo está sellada con una canica hace que sea divertido y gratificante de abrir.",Alimentos y bebidas preparados,65,53.36,Asiaon Mart,Si,No,Si,0,11.64,No,Si,30400000,,,
711,Bebidas Gatunas,Bebidas Coreanas,,SOJU AMERICANO,,Alimentos y bebidas preparados,100,,,Si,No,Si,0,,No,Si,57500000,,,
468,Bebidas Gatunas,Bebidas Coreanas,,SOJU DURAZNO,,Alimentos y bebidas preparados,100,71.76,,Si,No,Si,0,28.24,No,Si,33500000,,,
469,Bebidas Gatunas,Bebidas Coreanas,,SOJU FRESA,,Alimentos y bebidas preparados,100,71.76,,Si,No,Si,0,28.24,No,Si,33600000,,,
704,Bebidas Gatunas,Bebidas Coreanas,,SOJU MANDARINA,,Alimentos y bebidas preparados,100,,,Si,No,Si,0,,No,Si,56800000,,,
663,Bebidas Gatunas,Bebidas Coreanas,,SOJU MANGO,,Alimentos y bebidas preparados,100,71.76,,Si,No,Si,0,28.24,No,Si,53000000,,,
696,Bebidas Gatunas,Bebidas Coreanas,,SOJU MANZANA,,Alimentos y bebidas preparados,100,,,Si,No,No,,,No,Si,56300000,,,
467,Bebidas Gatunas,Bebidas Coreanas,,SOJU MANZANA VERDE,,Alimentos y bebidas preparados,100,71.76,,Si,No,Si,0,28.24,No,Si,33400000,,,
471,Bebidas Gatunas,Bebidas Coreanas,,SOJU ORIGINAL,,Alimentos y bebidas preparados,100,71.76,,Si,No,Si,0,28.24,No,Si,33800000,,,
470,Bebidas Gatunas,Bebidas Coreanas,,SOJU SAERO,,Alimentos y bebidas preparados,100,71.76,,Si,No,Si,0,28.24,No,Si,33700000,,,
472,Bebidas Gatunas,Bebidas Coreanas,,SOJU YOGURT,,Alimentos y bebidas preparados,100,71.76,,Si,No,Si,0,28.24,No,Si,33900000,,,
645,Bebidas Gatunas,Bobah Tea's,,ALGODÓN DE AZÚCAR BOBA TEA'S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,51200000,,,
302,Bebidas Gatunas,Bobah Tea's,BOBAH,BOBAH TEA,,Alimentos y bebidas preparados,37.99,2.13,,Si,Si,Si,,35.86,Si,Si,18500000,,,
380,Bebidas Gatunas,Bobah Tea's,,BOBAH TEA AGUA,,Alimentos y bebidas preparados,40,0,,No,No,Si,,40,Si,No,25700000,,,
611,Bebidas Gatunas,Bobah Tea's,,Bobah Tea Chocolate 16 oz,,Alimentos y bebidas preparados,80,,,No,No,No,,,No,Si,47800000,,,
612,Bebidas Gatunas,Bobah Tea's,,Bobah Tea Horchata 16 oz,,Alimentos y bebidas preparados,80,,,No,No,No,,,No,Si,47900000,,,
613,Bebidas Gatunas,Bobah Tea's,,Bobah Tea Matcha 16 oz,,Alimentos y bebidas preparados,80,,,No,No,No,,,No,Si,48000000,,,
614,Bebidas Gatunas,Bobah Tea's,,Bobah Tea Pink Lemonade 16 oz,,Alimentos y bebidas preparados,80,,,No,No,No,,,No,Si,48100000,,,
615,Bebidas Gatunas,Bobah Tea's,,Bobah Tea Taro Purple 16 oz,,Alimentos y bebidas preparados,87,,,No,No,No,,,No,Si,48200000,,,
616,Bebidas Gatunas,Bobah Tea's,,Bobah Tea Té Verde Frutos Rojos 16 oz,,Alimentos y bebidas preparados,80,,,No,No,No,,,No,Si,48300000,,,
617,Bebidas Gatunas,Bobah Tea's,,Bobah Tea Vainilla 16 oz,,Alimentos y bebidas preparados,80,,,No,No,No,,,No,Si,48400000,,,
618,Bebidas Gatunas,Bobah Tea's,,Chai Latte caliente,,Alimentos y bebidas preparados,58,,,Si,No,No,,,No,Si,48500000,,,
103,Bebidas Gatunas,Bobah Tea's,,CHOCOLATE BOBA TEA´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,4100000,,,
389,Bebidas Gatunas,Bobah Tea's,,FRUTOS ROJOS BOBAH TEA'S,,Alimentos y bebidas preparados,55,,,Si,No,Si,,,No,No,26600000,,,
109,Bebidas Gatunas,Bobah Tea's,,FRUTOS ROJOS BOBA TEA´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,15000000,,,
104,Bebidas Gatunas,Bobah Tea's,,HORCHATA BOBA TEA´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,7900000,,,
377,Bebidas Gatunas,Bobah Tea's,,LECHE DESLACTOSADA BOBAH TEA,,Alimentos y bebidas preparados,0,8.7134,,Si,No,Si,,-8.7134,No,No,25400000,,,
378,Bebidas Gatunas,Bobah Tea's,,LECHE DESLACTOSADA LIGHT BOBAH TEA,,Alimentos y bebidas preparados,0,8.8101,,Si,No,Si,,-8.8101,No,No,25500000,,,
376,Bebidas Gatunas,Bobah Tea's,,LECHE ENTERA BOBAH TEA,,Alimentos y bebidas preparados,0,7.1526,,Si,No,Si,,-7.1526,No,No,25300000,,,
105,Bebidas Gatunas,Bobah Tea's,,MATCHA BOBA TEA´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,10700000,,,
106,Bebidas Gatunas,Bobah Tea's,,PINK LEMONADE BOBA TEA´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,13200000,,,
388,Bebidas Gatunas,Bobah Tea's,BOB_2X100,PROMO BOBAH G 2X100,,Alimentos y bebidas preparados,100,,,No,No,Si,,,Si,Si,26500000,,,
107,Bebidas Gatunas,Bobah Tea's,,TARO BOBA TEA´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,14700000,,,
108,Bebidas Gatunas,Bobah Tea's,,TARO PURPPLE BOBA TEA´S,,Alimentos y bebidas preparados,5,,,Si,No,Si,,,No,No,14900000,,,
110,Bebidas Gatunas,Bobah Tea's,,VAINILLA BOBA TEA´S,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,15200000,,,
10,Bebidas Gatunas,Frappé's Gatunos,,ALGODÓN DE AZUCAR FRAPPÉ,,Alimentos y bebidas preparados,10,,,Si,No,Si,,,No,No,800000,,,
11,Bebidas Gatunas,Frappé's Gatunos,,BAILEYS FRAPPÉ,,Alimentos y bebidas preparados,15,9.985,,Si,No,Si,,5.015,No,No,1000000,,,
12,Bebidas Gatunas,Frappé's Gatunos,,CAJETA FRAPPÉ,,Alimentos y bebidas preparados,0,,,Si,No,Si,,,No,No,1700000,,,
414,Bebidas Gatunas,Frappé's Gatunos,,CALABAZA FRAPPÉ,,Alimentos y bebidas preparados,10,,,Si,No,Si,,,No,No,28300000,,,
284,Bebidas Gatunas,Frappé's Gatunos,,CAPPUCCINO FRAPPÉ,,Alimentos y bebidas preparados,10,,,Si,No,Si,,,No,No,1200000,,,
14,Bebidas Gatunas,Frappé's Gatunos,,CEREZA FRAPPÉ,,Alimentos y bebidas preparados,15,,,Si,No,Si,,,No,No,2300000,,,
16,Bebidas Gatunas,Frappé's Gatunos,,CHAI MANZANA CANELA FRAPPÉ,,Alimentos y bebidas preparados,10,,,Si,No,Si,,,No,No,2800000,,,
401,Bebidas Gatunas,Frappé's Gatunos,,CHAI VAINILLA FRAPPÈ,,Alimentos y bebidas preparados,10,,,Si,No,Si,,,No,No,27400000,,,
